Client Name,Service Name,Email,Category,Type,Item,
RetailWebsite55,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.sxfpfhyxyvgpoaemataq">View</a>
RetailWebsite41,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.tvdsmtwarl22ni5pjhla">View</a>
INGCSharpTests,INGCSharpProxyService_GetCustomerBalance,ingc-team@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.zeczzu4rgglosmyufs7q">View</a>
RetailWebsite18,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.q2slx6wogvmyq4x3wuua">View</a>
RetailWebsite16,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.u7eer7ovi6ncuvawqyra">View</a>
Dash,INGCSharpService,digital-commerce-qa@amazon.com,Digital Media Technology,Digital Platform,QA,<a href="/relationships/amzn1.aaa.rel.zv2ases3z5aicgncsblq">View</a>
RetailWebsite1,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ss4kmnjx62ioktlj73ka">View</a>
RetailWebsite92,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.f33lzrrcox3t6jt45w3a">View</a>
RetailWebsite131,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.j6qtef3ev5olibxh2v7q">View</a>
RetailWebsite56,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.3itmnryp4mafn45tppaq">View</a>
RetailWebsite69,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.vesc6iht2ieollbtezeq">View</a>
RetailWebsite78,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.733eu3alxxq7jhc4jdma">View</a>
TestClientbandakhi,INGCSharpService,ingc-team@amazon.com,India,Gift Card,DevTeam,<a href="/relationships/amzn1.aaa.rel.wvut6xgerz6pieanwg5a">View</a>
DemoNitishService,INGCSharpPerformAsyncService,nitishw@amazon.com,India,Payments,DevTeam,<a href="/relationships/amzn1.aaa.rel.glrr74hhxjoqyc7t4qva">View</a>
RetailWebsite102,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ewuy3ikafu4ivkkvbt5a">View</a>
SellerCSCustomerAccountService,INGCSharpService,cs-customer-data@amazon.com,Customer Service,CSCustomerDataService,AAA Access Request,<a href="/relationships/amzn1.aaa.rel.64j52algq77yfkepmsoa">View</a>
RetailWebsite11,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.fhnnpjblfffykyalgqca">View</a>
INGCSharpTests,INGCSharpService_GetCustomerBalance,ingc-team@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.dxpe5gmwzvdmdsh3d3ua">View</a>
RetailWebsite135,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.kmhezl2wummp6jcrtw6q">View</a>
RetailWebsite103,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.dgpw3dhoqc4tdegsrcoq">View</a>
RetailWebsite36,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.apb2figuzktcun67ybxq">View</a>
RetailWebsite62,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.tf37fqiszutzomixhcna">View</a>
RetailWebsite117,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ja2htpocoi35avxpvklq">View</a>
LegosCare,INGCSharpService,website-cs-dev@amazon.com,Website,Software,LegosCareService (LCS),<a href="/relationships/amzn1.aaa.rel.y5yalchfvu3ikxmmxoca">View</a>
PWAINEngine,INGCSharpService,cvna@amazon.com,Payments,IN-EPS,IN-EPS-CX,<a href="/relationships/amzn1.aaa.rel.cjdd6kgs76pmko7m64gq">View</a>
